[2025-05-16 10:41:44] User ID: 17, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:41:44] User ID: 16, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:41:45] User ID: 14, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:41:45] User ID: 16, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:41:45] User ID: 17, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:41:46] User ID: 14, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:41:47] User ID: 11, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:41:56] User ID: 10, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:41:57] User ID: 11, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:41:57] User ID: 17, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:41:59] User ID: 26, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:01] User ID: 11, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:03] User ID: 26, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:20] User ID: 10, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:42:24] User ID: 28, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:29] User ID: 18, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:30] User ID: 28, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:30] User ID: 10, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:30] User ID: 18, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:31] User ID: 10, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:32] User ID: 24, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:35] User ID: 12, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:40] User ID: 12, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:41] User ID: 21, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:43] User ID: 21, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:42:45] User ID: 12, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:42:53] User ID: 24, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:42:54] User ID: 12, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:42:55] User ID: 24, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:02] User ID: 26, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:02] User ID: 22, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:21] User ID: 10, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:22] User ID: 23, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:43:23] User ID: 23, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:27] User ID: 29, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:43:28] User ID: 26, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:30] User ID: 13, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:33] User ID: 18, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:36] User ID: 29, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:38] User ID: 27, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:43:39] User ID: 30, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:43:40] User ID: 30, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:43] User ID: 30, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:45] User ID: 30, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:43:50] User ID: 27, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:43:59] User ID: 18, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:44:10] User ID: 13, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:44:13] User ID: 18, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:44:15] User ID: 13, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:44:24] User ID: 13, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:44:56] User ID: 28, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:01] User ID: 30, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:45:03] User ID: 27, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:18] User ID: 25, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:18] User ID: 25, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:45:23] User ID: 11, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:30] User ID: 30, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:44] User ID: 14, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:45:53] User ID: 13, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:46:08] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:20] User ID: 13, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:46:21] User ID: 13, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:30] User ID: 14, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:37] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:38] User ID: 30, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 10:46:38] User ID: 30, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:50] User ID: 26, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:46:51] User ID: 20, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:56] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:46:59] User ID: 14, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:14] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:14] User ID: 20, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:23] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:49] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:56] User ID: 17, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:57] User ID: 19, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:47:58] User ID: 29, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:48:01] User ID: 14, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 10:48:02] User ID: 30, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 10:48:03] User ID: 30, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
